ME Entity Name,DBA,Loc City,,
3AP Inc,Nature's Chemistry,Las Vegas,,
5Seat Investments LLC,Kanna,Carson City,,
A New Leaf Cultivation Center LLC,Margo Jean's,Reno,,
ACC Enterprises LLC ,ACC Enterprises LLC,Pahrump,,
Alternative Medicine Association LC ,Alternative Medicine Association LC,Las Vegas,,
Blossum Group LLC,Blossum Group LLC,Las Vegas,,
"Cannavative Farms, LLC",Cannavative Farms LLC,Reno,,
CCLV Manufacturing Center LLC,CCLV Manufacturing Center LLC,Las Vegas,,
Circle S Farms LLC,Circle S Farms LLC,North Las Vegas,,
Clear River LLC,Nevada Medical Marijuana,Laughlin,,
"CWNevada, LLC",Canopi ,Las Vegas,,
"CWNevada, LLC",Canopi ,Pahrump,,
"D.H. Aldebaran, Inc.",DH Aldebaran,Las Vegas,,
"Deep Roots Medical, LLC",Deep Roots Harvest,Mesquite,,
Econevada LLC ,ECONEVADA LLC,North Las Vegas,,
EMK Hydrogarden,EMK HydroGarden ,North Las Vegas,,
Euphoria Wellness LLC ,SUMMA CANNABIS,Las Vegas,,
Fidelis Holdings LLC ,Pisos,Las Vegas,,
Fidelis Holdings LLC ,Pisos,North Las Vegas,,
Franklin BioScience NV LLC ,Franklin BioScience NV LLC,North Las Vegas,,
FSWFL LLC ,Green Harvest,North Las Vegas,,
GB Sciences Nevada LLC ,GB Sciences,Las Vegas,,
Global Harmony LLC,Top Notch Health Center,Las Vegas,,
Good Chemistry Nevada LLC,Good Chemistry,Reno,,
Gravitas Nevada LTD,The Apothecarium,Las Vegas,,
Green Leaf Farms Holdings LLC ,Green Leaf Farms Holdings LLC,North Las Vegas,,
Green Life Productions,Green Life Productions LLC,Pahrump,,
Green Therapeutics LLC,Green Therapeutics LLC,North Las Vegas,,
"Greenleaf Enterprises, Inc.",Greenleaf Enterprises Inc,Sparks,,
Greenmart of Nevada,GreenMart of Nevada LLC,Las Vegas,,
GreenMart of Nevada NLV LLC ,GreenMart of Nevada NLV LLC,North Las Vegas,,
Greenway Medical,Greenway Medical,Las Vegas,,
GSM LV LLC,GSM LV LLC,North Las Vegas,,
GWGA LLC,GWGA LLC,Pahrump,,
Helping Hands Wellness Center Inc ,Green Heaven Nursery,North Las Vegas,,
Herbal Care LLC,Herbal Care LLC,Reno,,
"High Sierra Holistics, LLC",High Sierra Holistics,Reno,,
Integral Associates LLC,Desert Grown Farms,Las Vegas,,
Just Quality LLC,Panacea Cannabis,Las Vegas,,
Las Vegas Natural Caregivers LLC ,House of Herbs,Las Vegas,,
"Las Vegas Wellness and Compassion, LLC",Pegasus Nevada,Las Vegas,,
Libra Wellness Center LLC ,Libra Wellness,North Las Vegas,,
"Lone Mountain Partners, LLC",Siena Cannabis,North Las Vegas,,
LVIG Holdings,LVIG Holdings,North Las Vegas,,
"Matrix NV, LLC",Matrix NV LLC ,North Las Vegas,,
MBNV Investments LLC,MBNV Investments LLC,North Las Vegas,,
Medical Marijuana Group Inc,MMG Agriculture,Reno,,
MM Development Company LLC ,MM Development Company LLC,Beatty,,
MM Development Company LLC ,MM Development Company LLC,Las Vegas,,
"NCMM, LLC",NCMM LLC,Pahrump,,
"Nevada Botanical Science, Inc",Nevada Botanical Science Inc,Reno,,
Nevada Group Wellness LLC ,Nevada Group Wellness LLC,North Las Vegas,,
Nevada Medical Group LLC ,BAM - Body and Mind,Las Vegas,,
Nevada Organic Remedies LLC,Nevada Organic Remedies LLC,Las Vegas,,
Nevada Pure LLC ,Shango Las Vegas,Las Vegas,,
NevWa LLC,Grassroots,Sparks,,
New Point Industries Inc,D X N,Las Vegas,,
NLV Organics Inc ,NLVO,North Las Vegas,,
