ME Entity Name,DBA,Loc City,,
3AP Inc,Nature's Chemistry,Las Vegas,,
Carson City Agency Solutions LLC,CC Agency Solutions,Carson City,,
Circle S Farms LLC,Circel S Farms LLC,North Las Vegas,,
"CWNevada, LLC",Canopi ,Pahrump,,
"CWNevada, LLC",Canopi ,Las Vegas,,
DH Aldebaran,DH Aldebaran,Las Vegas,,
"Greenleaf Enterprises, Inc.","Greenleaf Enterprises, Inc.",Sparks,,
Integral Associates LLC,Desert Grown Farms,Las Vegas,,
LivFree Wellness LLC,The Dispensary NV,Las Vegas,,
"Lone Mountain Partners, LLC",Siena Cannabis,North Las Vegas,,
"Matrix NV, LLC",Matrix NV LLC,North Las Vegas,,
MBNV Investments LLC,MBNV Investments LLC,North Las Vegas,,
Nevada Organic Remedies LLC,Nevada Organic Remedies LLC,Las Vegas,,
Nye Natural Medicinal Solutions LLC,Nye Natural Medicinal Solutions LLC,Pahrump,,
Redwood Warehouse LLC,Redwood Warehouse LLC,Las Vegas,,
"Serenity Wellness Products, LLC","Serenity Wellness Products, LLC",North Las Vegas,,
Southern Nevada Growers Inc.,Southern Nevada Growers Inc.,Las Vegas,,
Tahoe Hydroponics Company LLC,Tahoe Hydroponics Company LLC,Carson City,,
Tahoe-Reno Extractions LLC,Kynd Cannabis Company,Sparks,,
"TGIG, LLC",The Grove,Las Vegas,,
"TGIG, LLC",The Grove,Pahrump,,
"V6E Holdings, Inc",Cannera,North Las Vegas,,
Waveseer of Las Vegas LLC,Waveseer of Las Vegas,North Las Vegas,,
"WSCC, Inc.",Sierra Wellness,Carson City,,
